ID,Vente,Adresse,TypeB,Surface,Prix,Nombre de Chambres,Date Vente
V1,Avenue de la Liberté 45,Marseille,Villa,417,2262642,5,2020-08-27
V2,Chemin des Vignes 95,Bordeaux,Maison,117,830934,1,2020-02-08
V3,Chemin des Vignes 60,Lyon,Maison,128,660096,4,2021-03-04
V4,Chemin des Vignes 42,Bordeaux,Appartement,70,263690,1,2023-07-25
V5,Boulevard Victor Hugo 90,Nice,Appartement,37,183964,1,2022-06-09
V6,Avenue de la Liberté 30,Nantes,Appartement,56,380240,1,2021-11-17
V7,Boulevard Victor Hugo 38,Montpellier,Appartement,106,493112,3,2020-10-01
V7,Boulevard Victor Hugo 38,Montpellier,Villa,106,493112,4,2020-10-01
V8,Chemin des Vignes 63,Bordeaux,Studio,15,50025,1,2022-06-24
V9,Avenue de la Liberté 34,Nice,Villa,196,1144248,5,2020-07-18
V10,Chemin des Vignes 67,Bordeaux,Maison,338,2919644,5,2022-03-11
V12,Rue Jean Jaurès,Strasbourg,Maison,435,1832000,1,2023-05-21
V13,Quai de l'Église,Cholet,Maison,194,849800,7,2023-05-14
V14,Place de la Paix,Rouen,Maison,448,1911600,6,2022-09-01
V15,Place de la Gare,Hyères,Maison,57,274400,7,2022-03-24
V16,Place de l'Opéra,Colmar,Villa,290,1547500,5,2021-02-19
V17,Avenue du Moulin,Saint-Maur-des-Fossés,Maison,22,107400,3,2022-06-14
V18,Allée des Lilas,Le Mans,Maison,141,607200,3,2022-02-10
V19,Quai du Moulin,Champigny-sur-Marne,Villa,105,581250,6,2022-02-06
V20,Avenue du Lac,Boulogne-Billancourt,Appartement,65,272500,9,2020-01-17
V21,Avenue des Vignes,Cholet,Appartement,86,326000,5,2020-11-24
V22,Quai du Parc,Antony,Appartement,488,1718000,2,2021-07-26
V23,Avenue des Fleurs,Roubaix,Villa,230,1237500,6,2021-12-15
V24,Boulevard de la Liberté,Dijon,Maison,322,1392400,8,2023-11-16
V25,Allée de la République,Calais,Maison,171,748200,6,2022-05-17
V26,Allée de l'Opéra,Reims,Appartement,228,823000,5,2020-01-05
V27,Chemin du Lac,Niort,Appartement,441,1558500,3,2020-03-03
V28,Allée de la Mairie,Le Havre,Villa,144,786000,6,2022-04-15
V29,Quai de la Liberté,Villeurbanne,Villa,381,2005250,1,2021-03-14
V30,Quai des Vignes,Pessac,Villa,361,1925250,6,2021-12-11
V31,Allée des Fleurs,Mérignac,Maison,356,1530200,7,2020-01-28
V32,Rue des Champs-Élysées,Saint-Denis,Maison,322,1357400,1,2022-01-19
