ID,Vente,Adresse,TypeB,Surface,Prix,Nombre de Chambres,Date Vente
V1,Avenue de la Liberté 45,Marseille,Villa,417,2262642,5,2020-08-27
V2,Chemin des Vignes 95,Bordeaux,Maison,117,830934,1,2020-02-08
V3,Chemin des Vignes 60,Lyon,Maison,128,660096,4,2021-03-04
V4,Chemin des Vignes 42,Bordeaux,Appartement,70,263690,1,2023-07-25
V5,Boulevard Victor Hugo 90,Nice,Appartement,37,183964,1,2022-06-09
V6,Avenue de la Liberté 30,Nantes,Appartement,56,380240,1,2021-11-17
V7,Boulevard Victor Hugo 38,Montpellier,Appartement,106,493112,3,2020-10-01
V7,Boulevard Victor Hugo 38,Montpellier,Villa,106,493112,4,2020-10-01
V8,Chemin des Vignes 63,Bordeaux,Studio,15,50025,1,2022-06-24
V9,Avenue de la Liberté 34,Nice,Villa,196,1144248,5,2020-07-18
V10,Chemin des Vignes 67,Bordeaux,Maison,338,2919644,5,2022-03-11
V12,Place de la Forêt,Paris,Villa,66,1223000,7,2023-10-27
V13,Allée de Bellevue,Paris,Villa,285,5150000,4,2020-09-15
V14,Allée du Lac,Paris,Villa,441,7973000,7,2023-08-18
V15,Rue des Champs-Élysées,Paris,Villa,147,2696000,10,2021-07-26
V16,Allée de la Liberté,Paris,Villa,38,709000,5,2022-04-06
V17,Chemin de la Gare,Paris,Villa,46,843000,3,2021-06-01
V18,Quai des Vignes,Paris,Villa,393,7099000,5,2021-02-12
V19,Quai de la Paix,Paris,Villa,39,727000,5,2021-08-28
V20,Quai du Moulin,Paris,Villa,401,7263000,9,2023-07-22
V21,Boulevard de la Paix,Paris,Villa,469,8462000,4,2022-08-31
V22,Quai des Écoles,Paris,Maison,278,4013200,2,2020-05-06
V23,Chemin du Parc,Paris,Maison,23,381200,10,2021-05-16
V24,Chemin des Champs-Élysées,Paris,Maison,290,4191000,3,2023-12-12
V25,Boulevard de la Liberté,Paris,Maison,79,1142600,1,2021-01-20
V26,Boulevard Victor Hugo,Paris,Maison,326,4729400,7,2023-07-16
V27,Quai des Vignes,Paris,Maison,45,683000,7,2022-04-06
V28,Rue du Lac,Paris,Maison,217,3144800,4,2020-09-14
V29,Allée de la Mairie,Paris,Maison,319,4633600,8,2023-03-07
V30,Rue de la Mairie,Paris,Maison,378,5448200,1,2020-12-10
V31,Place des Champs-Élysées,Paris,Maison,495,7148000,4,2023-01-16
V32,Rue de l'Église,Paris,Appartement,337,4049000,1,2023-07-01
V33,Rue des Écoles,Paris,Appartement,215,2610000,6,2022-07-01
